created_at;author.username;text
29-08-2016 1:21;pedrogdigital;#NoMasAFP por favor. https://t.co/SiUhFYGw3l
28-08-2016 6:05;CieloAustralCoq;AFP son inviables, X eso y x mucho +#NOMasAFP @SinFiltroCL @chileconvoca https://t.co/iNGRiUV9oV
27-08-2016 12:24;djotto_nax;#NoMasAFP notable #NegroPiñera vamor  por #UnMañanaMejor https://t.co/IKxVIZHhSi
25-08-2016 11:30;fijito;@RNchile @bprokurica @paulinanu @latercera #NOMasAFP chantas!
24-08-2016 20:30;mariela2770;The latest Libertad para Expresarse! https://t.co/Izu2LDDFuE Thanks to @villa_grimaldi @jaran_13 @rafa_cavada #perunews #nomasafp
23-08-2016 15:18;Liberta_Alegria;#EsDeUniversitario Movilizarse por causas justas #NOMasAFP \nhttps://t.co/A99ueQhk4e
23-08-2016 9:48;juan2049;"Derecha y corpos de chile calling the people"" no mas afp chupa sangre https://t.co/XN8zR3RS6y"
23-08-2016 9:19;Gr_rv;@muchogustoMEGA No mas AFP'S
23-08-2016 0:01;lramirez;The latest Resonancias y latidos! https://t.co/lRqefV5YEv Thanks to @8gigascom @ArchivoCAB @ElCenselio #nomasafp #ciudadanoscnn
22-08-2016 23:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/XNdmYK6s9p Thanks to @Amras_Anarion @ChillanOnline @Chileokulto #nomasafp #chile
22-08-2016 21:15;MiguelGarridoD;The latest El Diario de Miguel Garrido! https://t.co/hxsZ8girBW Thanks to @QuintanaChile #felizlunes #nomasafp
22-08-2016 14:41;Bernardo_E;The latest El Diario de Bernardo Escobar Ll.! https://t.co/8oP4mqbe13 Thanks to @MesinaArt @AnonymissNegra @jaime_muso #nomasafp #cadem
22-08-2016 11:30;Claudio_2012;The latest El Diario de Claudio Rodriguez! https://t.co/Rq5oLqAHzE Thanks to @joseantoniokast @vigilantecosta @alfonsogc #temuco #nomasafp
22-08-2016 5:10;libertadonde;The latest Libertad Adonde? El Diario! https://t.co/GeU2NvibQX Thanks to @jmarquezg22 @ivanexxx69 @marcelobeltrand #siguemeytesigo #nomasafp
